调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-BTC-USDT-loong_bn_bnfutures_pm_mode_0,BTC-USDT-FTR,2.0727182686540054E+04,-1.0307595454994444E+02,2.083025864109E+04,4.514871608559042E+01,-4.831402590498328E+01,-1.47E-06 | 0E+00,-2.8749193903167576E+01,1.2813935383224487E+05,-2.26515755856E+07,-1.9557274764059577E+07,5.656973103173683E-03,0E+00,0E+00,1.6175501176379653E-01,-8.044051375886251E-04,9.195942490787333E-04,-3.770428401584899E-04,3.523407504044182E-04,2.0380849120206612E-01,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-2.53291E+02,2026-01-03 14:24:19,2.84E+02,prod-strategy-ap85,2026-02-02 07:47:51,-4.7156162622385075E+01,5.561360342443145E-04|binance_spot,0E+00,7.408107227106482E-01,1.47E+02,2.2E+01,0E+00,1.005E-03 | 0E+00
fr-KITE-USDT-loong_bn_bnfutures_pm_mode_0,KITE-USDT-FTR,3.673218487148333E+03,-7.289879311666863E+00,3.68050836646E+03,1.048129130154848E+00,-2.2627830266952515E+01,3.4851E-04 | 0E+00,2.275612723468815E+02,2.996731643676758E+03,-6.940751917346399E+05,-6.5295478565E+05,4.31758933234207E-03,7.952558593749999E-02,0E+00,1.225741549096995E+00,-2.432609982628523E-03,5.302751647500374E-03,-7.550836363575725E-03,3.4975742067744E-04,6.244970336551304E-03,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-4.658971E+06,2026-01-03 13:08:21,2.7E+01,prod-strategy-ap85,2026-02-02 07:47:48,-4.394566969463756E+00,2.5179856115107313E-03|binance_futures,1.6666666666666666E-01,1.4181467853108505E+00,0E+00,3.1E+01,1E+00,5.626980000000002E-03 | 0E+00
fr-ETH-USDT-loong_bn_bnfutures_pm_mode_0,ETH-USDT-FTR,3.021093303608869E+03,-5.537710583311308E+02,3.57486436194E+03,2.445755436521722E+02,-2.0706039452040568E+02,-2.036E-04 | 0E+00,-1.9509712959717126E+03,6.965130728034973E+05,-1.2400773576567587E+07,-9.58237375231686E+06,5.616690511305065E-02,0E+00,0E+00,4.337453841962835E-03,-7.950619736427583E-04,2.882775288063511E-04,-2.9728141883536807E-04,3.511427899949449E-04,1.1157647479433573E-01,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-4.192811E+03,2026-01-03 14:43:26,3.21E+02,prod-strategy-ap85,2026-02-02 07:47:53,-2.58686269130558E+02,8.943646302783659E-04|binance_spot,2.11118930330753E-03,1.285791185688579E+00,1.6E+02,1.9E+01,3E+00,1.9857000000000007E-04 | 0E+00
fr-ASTER-USDT-loong_bn_bnfutures_pm_mode_13,ASTER-USDT-FTR,2.988587313433425E+03,-1.0808908358565748E+03,4.06947814929E+03,2.3781610375719174E+02,-7.944824301396729E+02,5E-05 | 0E+00,1.4625487418667652E+02,6.694899723894596E+05,-3.245306148E+06,-2.92509748373353E+06,2.0629485843794715E-01,-1.0344110000000003E+03,0E+00,4.463976215755606E-03,-1.6144989177340398E-03,1.2539581671818286E-03,-1.1866980282081087E-03,3.552198144333788E-04,2.9199776722513993E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-5.371391E+06,2026-01-03 10:29:41,3.21E+02,prod-strategy-ap85,2026-02-02 07:47:51,-5.591612276876585E+02,1.4646649578908821E-03|binance_spot,4.058823529411765E-02,1.2509712622825524E+00,5.2E+01,5.2E+01,6.9E+01,1.3659399999999997E-03 | 0E+00
fr-SUI-USDT-loong_bn_bnfutures_pm_mode_1,SUI-USDT-FTR,2.1227861566263864E+03,-4.5757009177361397E+02,2.5803562484000004E+03,1.8551435387877336E+02,-2.037145999878412E+02,4.514E-05 | 0E+00,1.2473627843496209E+02,5.318656014460102E+05,-3.053952034062055E+06,-2.763320302059417E+06,1.7415650131825317E-01,-3.911208166981638E+01,0E+00,3.991207836820165E-03,-8.603114969826866E-04,8.44923633252967E-04,-3.830189420673041E-04,3.487993082733796E-04,2.747806014259566E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-2.4703281E+06,2025-12-14 16:09:31,1.015E+03,prod-strategy-ap85,2026-02-02 07:47:47,-2.254204495695669E+02,6.254467476769499E-04|binance_spot,8.368200836820083E-04,1.3503522107163186E+00,1.55E+02,2.1E+01,1E+00,9.8878E-04 | 0E+00
fr-BTC-USDT-loong_bn_bnfutures_pm_asset13_mode_0,BTC-USDT-FTR,1.7779868894159142E+03,-3.626101278408569E+01,1.8142479022E+03,1.4348544827545993E+01,-1.0052560526877437E+01,-1.47E-06 | 0E+00,-2.526960201050787E+00,5.313342513656616E+04,-1.9750548207E+06,-1.7190205449325084E+06,2.690225333478824E-02,0E+00,0E+00,3.346268163300303E-02,-6.824520100273197E-04,9.185810354150034E-04,-1.891946642069441E-04,2.7004742853799945E-04,1.7770637699221745E-02,asset13_virtual@a9ywto2zmanagedsub.com,asset13_virtual@a9ywto2zmanagedsub.com,-2.2266E+01,2026-01-06 16:44:53,1.5E+02,prod-strategy-ap57,2026-02-02 09:27:52,-1.7261333051487302E+01,5.561360342443145E-04|binance_spot,0E+00,7.44086994778575E-01,0E+00,1.9E+01,0E+00,1.005E-03 | 0E+00
fr-BTC-USDT-loong_bn_bnfutures_pm_asset10_mode_0,BTC-USDT-FTR,1.7613991417097393E+03,-8.100589129026062E+01,1.842405033E+03,3.1924699273658916E+01,-2.3146143549121916E+01,-1.47E-06 | 0E+00,-2.5916492926971966E+00,1.1656507660675049E+05,-2.0012703763E+06,-1.7630267297259842E+06,5.824554142567133E-02,0E+00,0E+00,1.5110865046244336E-02,-6.949413464853282E-04,9.206177510138764E-04,-1.985684239474989E-04,2.7387876543299164E-04,1.8006513248481838E-02,asset10_virtual@m6r3teozmanagedsub.com,asset10_virtual@m6r3teozmanagedsub.com,-2.2836E+01,2026-01-05 12:10:01,9.5E+01,prod-strategy-ap86,2026-02-02 09:44:58,-3.5569207504393574E+01,5.561360342443145E-04|binance_spot,9.009009009009009E-03,7.631365848715578E-01,0E+00,2E+01,1E+00,1.005E-03 | 0E+00
fr-XPL-USDT-loong_bn_bnfutures_pm_mode_0,XPL-USDT-FTR,1.6516597890543603E+03,-4.117416990956398E+02,2.06340148815E+03,6.0236458097992E+01,-2.3530002975497337E+02,5E-05 | 0E+00,6.1295415583932495E+01,1.7286283722019196E+05,-1.5568462752E+06,-1.2259083116786499E+06,1.1103397938115962E-01,-2.5537290938964843E+03,0E+00,9.55474187289014E-03,-2.381898305713708E-03,1.3253726594714213E-03,-1.3611950002605196E-03,3.4846389812093074E-04,1.400778895856502E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-1.1830535E+07,2026-01-03 13:31:25,3.88E+02,prod-strategy-ap85,2026-02-02 07:47:48,-1.1526048867065202E+02,1.9267822736031004E-03|binance_spot,4.7619047619047616E-02,1.4995941049644086E+00,7.7E+01,2.1E+01,1.7E+01,1.584919999999999E-03 | 0E+00
fr-PUMP-USDT-loong_bn_bnfutures_pm_mode_3,PUMP-USDT-FTR,1.6359848718513585E+03,-4.2025038530864146E+02,2.05623525716E+03,1.2390780168212768E+02,-3.569250784406395E+02,3.71E-05 | 0E+00,8.632619469590341E+01,3.525635409255177E+05,-2.61849970834008E+06,-2.326851609054E+06,1.3464333786350308E-01,0E+00,0E+00,4.640255392139301E-03,-1.1919848099024603E-03,7.852722880246143E-04,-1.0123709261135518E-03,3.514481428137924E-04,2.3560059773904064E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-9.1620956E+08,2026-01-03 10:15:32,4.36E+02,prod-strategy-ap85,2026-02-02 07:47:52,-1.661642296788356E+02,1.180173092053538E-03|binance_spot,5.787037037037037E-02,1.492264572116634E+00,1.34E+02,2.3E+01,5E+01,9.383300000000002E-04 | 0E+00
fr-BTC-USDC-loong_bn_bnfutures_pm_mode_usdc_0,BTC-USDC-FTR,1.4871205369271681E+03,-1.4313605602831734E+01,1.50143414253E+03,5.598410900682211E+00,-9.209847940132022E+00,3.814E-05 | 0E+00,4.512778107459001E+01,1.5992621299743652E+04,-1.3573966757691754E+06,-1.1832139767852651E+06,1.1781833258639266E-02,0E+00,0E+00,9.29879166807386E-02,-8.950131022649281E-04,1.1061130245358858E-03,-5.758810746228104E-04,3.500621190080921E-04,1.2213232912022524E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-1.5334E+01,2025-12-05 16:07:53,2.99E+02,prod-strategy-ap85,2026-02-02 09:48:26,-5.959131889045165E+00,5.511786503908933E-04|binance_spot,0E+00,7.3510125774069E-01,0E+00,2.3E+01,0E+00,1.1744400000000001E-03 | 0E+00
fr-SENT-USDT-loong_bn_bnfutures_pm_mode_0,SENT-USDT-FTR,1.3514298959193793E+03,8.971754938593792E+02,4.5425440205999996E+02,1.2352136991111911E+02,-3.756002614761566E+02,-2.40941E-03 | 0E+00,1.6436691434339996E+00,2.7035692450875044E+05,-2.1818098643999998E+05,6.821873999999999E+02,1.2391406277883839E+00,0E+00,0E+00,4.998687932165904E-03,3.318485352241611E-03,2.082007279699051E-03,-1.3892755369911002E-03,4.5688258266572045E-04,1.963092478369733E-03,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,1.9947E+04,2026-01-25 03:58:43,9.3E+01,prod-strategy-ap85,2026-01-29 20:30:15,2.603170610604974E+02,2.2442436607403193E-02|binance_spot,8.151476251604621E-01,3.2086201662258365E+00,0E+00,0E+00,6.35E+02,-3.7085406000000004E-01 | 0E+00
fr-LINK-USDT-loong_bn_bnfutures_pm_mode_1,LINK-USDT-FTR,1.1060820305051943E+03,-4.544836556848056E+02,1.56056568619E+03,1.3552645243018014E+02,-2.5843589864112437E+02,1E-04 | 0E+00,2.10290039484618E+02,3.8651447095379233E+05,-2.213550388994689E+06,-2.10290039484618E+06,1.746129082380332E-01,-2.0243499932276336E+03,0E+00,2.8616833614941834E-03,-1.1758515911792057E-03,7.050057201990102E-04,-6.686318833118677E-04,3.5063746021137275E-04,1.9916511470731948E-02,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-2.207749E+05,2025-12-01 16:17:41,4.54E+02,prod-strategy-ap85,2026-02-02 07:47:50,-2.0249797017464996E+02,1.3631120897557025E-03|binance_spot,1.0309278350515464E-02,1.1555147269212729E+00,6E+01,5.9E+01,1E+01,9.383200000000002E-04 | 0E+00
fr-ETH-USDC-loong_bn_bnfutures_pm_mode_usdc_2,ETH-USDC-FTR,7.409313057499645E+02,-3.0079387770035563E+01,7.7101069352E+02,1.0346714125014842E+01,-1.924439200758934E+01,-1.4634E-04 | 0E+00,-8.831699736722655E+01,2.9941777667999268E+04,-7.578913419778261E+05,-6.03505517064552E+05,3.950668916452048E-02,0E+00,0E+00,2.4745735338949037E-02,-1.004595922912866E-03,1.0173103330458125E-03,-6.427271026114485E-04,3.4556111663580516E-04,6.819158796256352E-03,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-2.64164E+02,2025-11-24 19:08:45,1.47E+02,prod-strategy-ap85,2026-02-02 09:48:26,-1.488028076384213E+01,7.508785715844013E-04|binance_spot,1.639344262295082E-02,1.268012850726251E+00,0E+00,3.8E+01,1E+00,9.3974E-04 | 0E+00
fr-GIGGLE-USDT-loong_bn_bnfutures_pm_mode_3,GIGGLE-USDT-FTR,7.006053247634079E+02,-2.5063084461659204E+02,9.5123616938E+02,5.960476878573536E+01,-2.2546791028675216E+02,5E-05 | 0E+00,2.573638395E+01,1.7128393582296371E+05,-5.564312423926656E+05,-5.14727679E+05,3.078258781560132E-01,-1.7609139764167367E+02,0E+00,4.0903154250702305E-03,-1.4632478137099792E-03,1.7095304808724709E-03,-1.3163400829356942E-03,3.479880848099023E-04,5.00651319115453E-03,asset30_virtual@l2s0mfw9managedsub.com,asset30_virtual@l2s0mfw9managedsub.com,-1.40291E+04,2026-01-02 17:26:58,1.57E+02,prod-strategy-ap85,2026-02-02 07:47:50,-9.765928387066558E+01,1.092001092001027E-03|binance_spot,3.416856492027335E-02,1.6427721371777348E+00,2.1E+02,2.4E+01,1.5E+01,1.9346999999999988E-03 | 0E+00
fr-KITE-USDT-loong_bn_bnfutures_pm_asset10_mode_0,KITE-USDT-FTR,6.598262648779522E+02,-4.429134842047683E+00,6.642553997199999E+02,1.5180208208039403E+00,-3.331464958190918E+01,3.4851E-04 | 0E+00,4.0650345141831E+01,5.6235904541015625E+03,-1.2544763990031E+05,-1.1664039809999999E+05,4.4828188545998036E-02,1.219760009765625E-01,0E+00,1.1733184880074407E-01,-7.875991109589596E-04,5.295080881935017E-03,-5.924088863478875E-03,2.69938010812429E-04,1.1287203451399584E-03,asset10_virtual@m6r3teozmanagedsub.com,asset10_virtual@m6r3teozmanagedsub.com,-8.32254E+05,2026-01-05 07:04:35,8E+00,prod-strategy-ap86,2026-02-02 09:45:01,-4.4920226029703E+00,2.5179856115107313E-03|binance_futures,4.444444444444444E-01,1.5000675261727405E+00,0E+00,3.2E+01,4E+00,5.626980000000002E-03 | 0E+00
