调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-XAUT-USDT-loong_by_byfutures_pm_mode_1,XAUT-USDT-FTR,2.4913381152237425E+03,-9.374516390625685E+01,2.5850832791299995E+03,2.472708733787648E+02,-3.492174977305147E+01,5E-05 | 0E+00,8.442035136E+01,5.2263846766168065E+05,-1.7121143077999998E+06,-1.6884070272E+06,3.052590970595011E-01,-3.676434025520138E+01,0E+00,4.766847963507462E-03,-1.7936904706934215E-04,1.5098777385090197E-03,-6.681817725605561E-05,4.7312030912127686E-04,1.0171052134713118E-01,asset06,asset06,-3.5747100000000006E+02,2026-01-13 22:10:35,1.3E+01,prod-strategy-sgap3,2026-01-31 03:21:38,-4.363319073095038E+01,7.208582453461787E-04|bybit_linear_futures,9.060913705583756E-01,8.318840877924615E-01,4.7E+01,0E+00,3.57E+02,1.7483999999999991E-03 | 0E+00
fr-ETH-USDT-loong_by_byfutures_pm_mode_0,ETH-USDT-FTR,7.036864414965587E+02,-1.997011610234413E+02,9.0338760252E+02,5.419155346275028E+01,-1.7629166286438704E+02,-7.517E-05 | 0E+00,-1.99417697039904E+02,1.9850325198638625E+05,-3.3395889086999996E+06,-2.6528894112E+06,5.943942725084014E-02,-1.229140911920328E+01,0E+00,3.5449617799955184E-03,-1.0060347073665937E-03,2.7050862462938926E-04,-8.881046587411952E-04,2.730008345982505E-04,1.983929036989582E-01,asset06,asset06,-1.16088E+03,2026-01-03 15:11:05,3.63E+02,prod-strategy-sgap3,2026-01-31 03:21:38,-1.0176608095289096E+02,7.33525155983461E-04|bybit_spot,1.5590200445434299E-02,1.3321334484433704E+00,4.6E+01,0E+00,7E+00,1.7266E-04 | 0E+00
fr-BTC-USDT-loong_by_byfutures_pm_mode_1,BTC-USDT-FTR,5.589996671611507E+02,-5.214187861884926E+01,6.1114154578E+02,2.0985980549748547E+01,-6.151035389304161E+01,7.058E-05 | 0E+00,1.0635101240616162E+02,7.66019989566356E+04,-1.6637559679999999E+06,-1.50681513752E+06,4.604160732100562E-02,-2.9504728310551286E+01,0E+00,7.297455350709588E-03,-6.806856130264536E-04,3.673264334039642E-04,-8.029862762179696E-04,2.7396126518354583E-04,9.883772720591531E-02,asset06,asset06,-1.9516E+01,2026-01-03 07:12:31,1.42E+02,prod-strategy-sgap3,2026-01-31 03:21:35,-4.1653171729912465E+01,4.3043987843982556E-04|bybit_spot,2.8901734104046242E-02,7.44086994778575E-01,3.3E+01,0E+00,5E+00,4.4197000000000013E-04 | 0E+00
fr-ASTER-USDT-loong_by_byfutures_pm_mode_5,ASTER-USDT-FTR,5.587311886060737E+02,4.1187595360737115E+00,5.5461242907E+02,1.161038038233528E+00,-1.4996299907565117E+01,5E-05 | 0E+00,3.1606299205000003E+01,3.748092185020447E+03,-7.86606528E+05,-6.321259841E+05,4.76488822759992E-03,1.6584948730468778E-02,0E+00,1.490708235083139E-01,1.0988949398135581E-03,7.050697004513035E-04,-4.001048844929439E-03,3.0976773807050696E-04,4.672945006851882E-02,asset06,asset06,-1.160503E+06,2025-12-14 19:40:03,9E+00,prod-strategy-sgap3,2026-01-31 03:21:41,3.9395084246813457E+00,9.154155986816903E-04|bybit_spot,9.333333333333333E-01,1.2509712622825524E+00,3.1E+01,0E+00,1.4E+01,9.373700000000003E-04 | 0E+00
fr-MET-USDT-loong_by_byfutures_pm_mode_18,MET-USDT-FTR,5.183860799954844E+02,4.978095170554843E+02,2.0576562940000002E+01,7.90264900864704E+01,-1.7642303126899094E+02,5E-05 | 0E+00,3.2619085096500005E+00,1.5514440700113773E+05,-7.696692688E+04,-6.5238170193000005E+04,2.015728226268214E+00,-1.1978893893241882E+00,0E+00,3.341313360988146E-03,3.208684906390687E-03,2.673429195384292E-04,-1.137153666568832E-03,5.093737609625262E-04,4.57232687314578E-03,asset06,asset06,-2.7084389999999997E+05,2026-01-05 15:02:10,8.6E+01,prod-strategy-sgap3,2026-01-31 03:21:34,3.3297597775272493E+02,1.8451731946658168E-03|bybit_spot,2.904191616766467E-01,1.4551378385841733E+00,6.4E+01,0E+00,9.7E+01,3.4610000000000034E-04 | 0E+00
fr-SUI-USDT-loong_by_byfutures_pm_mode_0,SUI-USDT-FTR,4.921743230049831E+02,-2.5982807394501697E+02,7.5200239695E+02,7.535577777028698E+01,-2.220304853236304E+02,1E-04 | 0E+00,7.054319558000002E+01,2.4316952099056542E+05,-6.463439915E+05,-7.054319558000001E+05,3.7622307035953223E-01,-2.4423852878019215E+01,0E+00,2.0239967616010506E-03,-1.068505924947304E-03,1.163470855828324E-03,-9.130687284293528E-04,3.098898968230918E-04,3.839695985574938E-02,asset06,asset06,-6.308299999999999E+05,2026-01-03 10:05:14,2.58E+02,prod-strategy-sgap3,2026-01-31 03:21:28,-1.6750164871534048E+02,8.037149490982554E-04|bybit_spot,1.5822784810126583E-02,1.2779995441960368E+00,5.7E+01,0E+00,1E+01,1.46415E-03 | 0E+00
fr-KAS-USDT-loong_by_byfutures_pm_mode_3,KAS-USDT-FTR,1.9941302903365334E+02,4.1116696293653334E+01,1.5829633274E+02,9.222921752356342E+00,-5.788809977844361E+01,5E-05 | 0E+00,4.146818385E+00,3.394502526855469E+04,-1.077119479E+05,-8.29363677E+04,3.151463317706344E-01,-4.949731351123047E+02,0E+00,5.874587732841713E-03,1.2112731090450004E-03,1.4696264975818899E-03,-1.7053485546251405E-03,2.717017200426151E-04,6.398777421760668E-03,asset06,asset06,-2.67623E+06,2026-01-03 09:34:23,3.4E+01,prod-strategy-sgap3,2026-01-31 03:21:42,3.9788201732008055E+00,1.6103059581320522E-03|bybit_spot,3.9759036144578314E-01,1.1299291234993216E+00,5.2E+01,0E+00,3.3E+01,1.6753899999999988E-03 | 0E+00
fr-ALCH-USDT-loong_by_byfutures_pm_mode_2,ALCH-USDT-FTR,1.6283917032E+02,0E+00,1.6283917032E+02,0E+00,0E+00,5E-05 | 0E+00,3.516541035E+00,0E+00,-8.08541965E+04,-7.03308207E+04,0E+00,0E+00,0E+00,0E+00,0E+00,2.0139853881301012E-03,0E+00,0E+00,4.80325550791381E-03,asset06,asset06,-8.096099999999999E+05,2026-01-03 11:54:28,0E+00,prod-strategy-sgap3,2026-01-21 15:17:58,0E+00,1.9455252918287869E-03|bybit_spot,0E+00,1.060656474314787E+00,0E+00,0E+00,0E+00,2.1999999999999993E-03 | 0E+00
fr-ALCH-USDT-loong_by_byfutures_pm_mode_3,ALCH-USDT-FTR,1.3376095944422877E+02,-2.9078210875771205E+01,1.6283917032E+02,5.096795042249141E+00,-5.2322690070257444E+01,5E-05 | 0E+00,3.516541035E+00,1.7599252069234848E+04,-8.08541965E+04,-7.03308207E+04,2.1766652605637912E-01,8.617766027069091E-01,0E+00,7.600377500022034E-03,-1.6522412862420817E-03,2.0139853881301012E-03,-2.9730064587075514E-03,2.896029343859913E-04,4.80325550791381E-03,asset06,asset06,-8.096099999999999E+05,2026-01-21 07:25:25,3.5E+01,prod-strategy-sgap3,2026-01-31 03:21:39,-1.0277005977434975E+01,1.9455252918287869E-03|bybit_spot,3.409090909090909E-01,1.1136591730462713E+00,3.7E+01,0E+00,3E+01,2.1999999999999993E-03 | 0E+00
fr-SPX-USDT-loong_by_byfutures_pm_mode_6,SPX-USDT-FTR,1.2972738679008415E+02,-1.9208132199915834E+01,1.4893551899E+02,7.077000896049867E+00,-5.419350034184754E+01,2.318E-05 | 0E+00,1.895751905368E+00,2.443484063434601E+04,-9.79468188E+04,-8.17839476E+04,2.4947048749219827E-01,5.166967757034303E+00,0E+00,5.309115321494556E-03,-7.860960702529229E-04,1.520575357267244E-03,-2.2178781991183637E-03,2.8962746276733724E-04,5.818666405073185E-03,asset06,asset06,-2.76671E+05,2026-01-03 05:17:18,1.29E+02,prod-strategy-sgap3,2026-01-31 03:21:40,-1.6714467798730794E+01,1.6886187098952288E-03|bybit_spot,1.891891891891892E-01,1.5976464493709168E+00,8.4E+01,0E+00,1.4E+01,1.6637499999999992E-03 | 0E+00
