调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-XMR-USDT-loong_kc_bnfutures_mode_2,XMR-USDT-FTR,6.951988201813138E+03,3.648329688131383E+02,6.587155233E+03,9.713868039892986E+00,-2.4113877300545573E+02,1E-04 | 0E+00,1.5435654782600002E+02,1.373490140914917E+05,-1.8646553062563448E+06,-1.5435654782600002E+06,7.365919783171418E-02,0E+00,0E+00,5.061549402300217E-02,2.6562474527127926E-03,3.5326396309809053E-03,-1.755664389733639E-03,7.072397355122134E-05,4.751246923241484E-02,21_virtual@eisoky3tmanagedsub.com,precursor012,-3.775291E+03,2026-01-03 15:15:09,7.9E+02,prod-strategy-ap71,2026-02-02 07:52:39,1.987580232578336E+02,7.59766678104068E-04|binance_futures,9.583333333333334E-01,1.63163703782258E+00,5E+01,0E+00,4.6E+01,3.8650699999999995E-03 | 0E+00
fr-H-USDT-loong_kc_bnfutures_mode_1,H-USDT-FTR,3.460318227182295E+03,9.76995423012295E+02,2.48332280417E+03,7.808455241437514E+01,-7.011407496614374E+02,5E-05 | 0E+00,4.18653053922555E+01,8.663649263936132E+05,-8.8802987228E+05,-8.3730610784511E+05,9.756033591181315E-01,3.2010224E+03,0E+00,3.994065458751244E-03,1.1276950315604296E-03,2.796440617244232E-03,-8.092903213199678E-04,9.012893993690968E-05,2.2627502167614208E-02,21_virtual@eisoky3tmanagedsub.com,precursor012,-7.763949E+06,2025-12-22 19:50:06,1.034E+03,prod-strategy-ap71,2026-02-02 07:52:38,2.1396415215141843E+02,5.389332837761884E-04|kucoin_spot,7.451102142191866E-01,1.8685522723990104E+00,5.2E+01,0E+00,2.4E+03,3.07259E-03 | 0E+00
fr-KITE-USDT-loong_kc_bnfutures_mode_1,KITE-USDT-FTR,3.4476829086565135E+03,5.957612665136326E-01,3.4470871473899997E+03,1.3549275696277618E-02,-2.692300081253052E-01,3.4851E-04 | 0E+00,2.1369616442985603E+02,1.9547496795654297E+02,-6.4894410039413E+05,-6.131708256000001E+05,3.0122004012028637E-04,-1.3536694335937498E-02,0E+00,1.763746501507541E+01,3.047762446218072E-03,5.311839872334835E-03,-1.377311944029371E-03,6.931463316208256E-05,1.6535461808990473E-02,21_virtual@eisoky3tmanagedsub.com,precursor012,-4.375104E+06,2026-01-15 08:50:15,4E+00,prod-strategy-ap71,2026-02-02 07:52:30,0E+00,2.5876940770557244E-03|binance_futures,1E+00,1.4181467853108505E+00,4.5E+01,0E+00,1E+00,5.626980000000001E-03 | 0E+00
fr-KITE-USDT-loong_kc_bnfutures_mode_0,KITE-USDT-FTR,3.4470871473899997E+03,0E+00,3.4470871473899997E+03,0E+00,0E+00,3.4851E-04 | 0E+00,2.1369616442985603E+02,0E+00,-6.4894410039413E+05,-6.131708256000001E+05,0E+00,0E+00,0E+00,0E+00,0E+00,5.311839872334835E-03,0E+00,0E+00,1.6535461808990473E-02,21_virtual@eisoky3tmanagedsub.com,precursor012,-4.375104E+06,2025-12-09 06:34:11,0E+00,prod-strategy-ap71,2026-01-14 12:38:29,0E+00,2.5876940770557244E-03|binance_futures,0E+00,1.4181467853108505E+00,0E+00,0E+00,0E+00,5.626980000000001E-03 | 0E+00
fr-ASTER-USDT-loong_kc_bnfutures_mode_1,ASTER-USDT-FTR,2.2656829947037572E+03,-1.0552173023624266E+02,2.37120472494E+03,6.395241100268322E+00,-1.681497998344712E+02,5E-05 | 0E+00,7.943468570713551E+01,9.066225283557177E+04,-1.8889326855000001E+06,-1.5886937141427102E+06,4.7996550396698485E-02,5.0211824835236075E+02,0E+00,2.4990367256953996E-02,-1.1638992737983312E-03,1.2553145716319384E-03,-1.8546836701646226E-03,7.053918141508082E-05,4.8131070552716586E-02,21_virtual@eisoky3tmanagedsub.com,precursor012,-2.9173369999999995E+06,2026-01-03 15:07:37,9.92E+02,prod-strategy-ap71,2026-02-02 07:52:29,-6.063645912657337E+01,9.144111192394E-04|kucoin_spot,1.3716814159292035E-01,1.2509712622825524E+00,4.4E+01,0E+00,3.1E+01,1.36594E-03 | 0E+00
fr-HANA-USDT-loong_kc_bnfutures_mode_1,HANA-USDT-FTR,2.1000678280276134E+03,4.250483708576133E+02,1.6750194571700001E+03,3.503239414703785E+01,-4.337223105557497E+02,2.14121E-03 | 0E+00,6.308188584800096E+02,3.076132125881985E+05,-2.3893782118191003E+05,-2.9460858975999994E+05,1.2874195096723677E+00,4.9759466766220086E+01,0E+00,6.826975377156417E-03,1.3817623998700769E-03,7.010273421279594E-03,-1.4099599523261484E-03,1.1388455603802585E-04,6.088270491213802E-03,21_virtual@eisoky3tmanagedsub.com,precursor012,-7.810408E+06,2026-01-14 16:39:30,2.04E+02,prod-strategy-ap71,2026-02-02 07:52:34,2.0798068217821145E+02,5.206906001644196E-03|binance_futures,8.152929493545183E-01,3.4441541307258032E+00,5.33E+02,3E+00,8.21E+02,9.025449999999997E-03 | 0E+00
fr-Q-USDT-loong_kc_bnfutures_mode_2,Q-USDT-FTR,1.9161871728329395E+03,2.529328430429395E+02,1.66325432979E+03,6.154591878566862E+01,-1.1853253506703077E+03,1.0332E-04 | 0E+00,2.3406795178262495E+01,5.84571819427859E+05,-2.4607335701520002E+05,-2.265466045128E+05,2.375599806978493E+00,-1.9141929E+01,0E+00,3.277932854697613E-03,4.3268052724555517E-04,6.759180879900217E-03,-2.0276813066877346E-03,1.0528375939487772E-04,6.270087970078915E-03,21_virtual@eisoky3tmanagedsub.com,precursor012,-1.192488E+07,2026-01-28 20:26:01,5.05E+02,prod-strategy-ap71,2026-02-02 07:52:43,2.4504736219534584E+02,3.4848724853477897E-03|binance_futures,7.290021536252692E-01,3.0285475962345414E+00,6.8E+01,2E+00,2.031E+03,7.777669999999997E-03 | 0E+00
fr-Q-USDT-loong_kc_bnfutures_mode_1,Q-USDT-FTR,1.8942183673009245E+03,-3.235356199075375E+00,1.8974537234999998E+03,1.8440296524058795E+00,-2.063993572059553E+01,1.0332E-04 | 0E+00,2.3406795178262495E+01,1.2346766949474812E+04,-2.4607335701520002E+05,-2.265466045128E+05,5.017514735946057E-02,0E+00,0E+00,1.534181680963451E-01,-2.6204076033143204E-04,7.710927125616422E-03,-1.6716874794071887E-03,1.493532404030934E-04,6.270087970078915E-03,21_virtual@eisoky3tmanagedsub.com,precursor012,-1.192488E+07,2026-01-03 07:15:00,7E+00,prod-strategy-ap71,2026-01-29 03:52:12,0E+00,3.4848724853477897E-03|binance_futures,8.796296296296297E-01,3.020040876393644E+00,0E+00,0E+00,9.5E+01,7.777669999999997E-03 | 0E+00
fr-BAN-USDT-loong_kc_bnfutures_mode_8,BAN-USDT-FTR,1.6994264069321425E+03,3.4051717021426597E+00,1.6960212352299998E+03,1.6504574709397275E+00,-7.961600017617457E+00,5E-05 | 0E+00,6.4122147E-02,2.0874984063863754E+04,-2.4465981931742997E+05,-1.28244294E+03,8.53224862263952E-02,8.44909137437582E+00,0E+00,8.140971038507204E-02,1.6312212223612094E-04,6.932160907997419E-03,-3.813943039793556E-04,7.906389130120581E-05,6.234070232028982E-03,21_virtual@eisoky3tmanagedsub.com,precursor012,-1.7834E+04,2026-01-25 05:03:46,1.1E+01,prod-strategy-ap71,2026-01-28 15:53:32,4.468315711085961E-01,2.9407645987957753E-03|binance_futures,8E-01,1.1440166795962565E+00,0E+00,0E+00,8E+01,9.4533E-03 | 0E+00
fr-BAN-USDT-loong_kc_bnfutures_mode_5,BAN-USDT-FTR,1.69602123523E+03,0E+00,1.69602123523E+03,0E+00,0E+00,5E-05 | 0E+00,6.4122147E-02,0E+00,-2.4465981931742997E+05,-1.28244294E+03,0E+00,0E+00,0E+00,0E+00,0E+00,6.93216090799742E-03,0E+00,0E+00,6.234070232028982E-03,21_virtual@eisoky3tmanagedsub.com,precursor012,-1.7834E+04,2026-01-07 14:30:01,0E+00,prod-strategy-ap71,2026-01-10 18:46:36,0E+00,2.9407645987957753E-03|binance_futures,0E+00,1.0949230199031272E+00,0E+00,0E+00,0E+00,9.4533E-03 | 0E+00
