调度名,币对(标准),总收益,成交收益,资金费收益,手续费,滑点,当期资金费率,当期资金费,成交量,最大持仓,当前持仓,换手率,敞口,市场成交占比,总收益率,成交收益率,资金费收益率,滑点率,手续费率,持仓占比,账户1,账户2,仓位数量,调度最后成交时间,调度最大对冲延迟,主机,调度最后更新时间,配对盈利,价差值,配对胜率,波动率,买卖单卖单数量,买卖单买单数量,配对笔数,累计资金费率
fr-XAUT-USDT-loong_kc_byfutures_mode_0,XAUT-USDT-FTR,3.7326866888022887E+03,7.139294635022884E+02,3.0187572253000003E+03,3.5850719117667904E+02,-4.194406743461136E+02,5E-05 | 0E+00,1.0914039936E+02,2.326064046209067E+06,-2.2406681050000004E+06,-2.1828079872E+06,1.038111820763864E+00,-3.1915173471565737E+02,0E+00,1.60472223234166E-03,3.0692596993011614E-04,1.3472576409525852E-03,-1.8032206595072154E-04,1.5412610489421423E-04,1.6492030641506125E-01,asset04,precursor007,-4.62146E+02,2026-01-12 14:03:34,1.6E+02,prod-strategy-sgap4,2026-01-22 17:17:56,3.348764429540985E+02,2.691402135746035E-04|bybit_linear_futures,9.153365718251214E-01,8.318840877924615E-01,5E+01,0E+00,2.638E+03,1.7483999999999993E-03 | 0E+00
fr-XMR-USDT-loong_kc_byfutures_mode_4,XMR-USDT-FTR,3.2550671130413093E+03,6.544540341309612E+00,3.2485225726999997E+03,8.127752125728875E-01,-2.9447599731385708E+01,1E-04 | 0E+00,1.1451814181000002E+02,8.133563549518585E+03,-1.353843904E+06,-1.1451814181000001E+06,6.007755787419481E-03,4.732097482308745E+00,0E+00,4.0020184181556834E-01,8.046338239647706E-04,2.3994808877907388E-03,-3.620504045010956E-03,9.992855009056819E-05,9.964722173159275E-02,asset04,precursor007,-2.8015299999999997E+03,2026-01-03 15:15:09,1.05E+02,prod-strategy-sgap4,2026-01-22 17:17:58,6.838644856245548E+00,7.119184976063231E-04|bybit_linear_futures,8.148148148148148E-01,1.6797417003821449E+00,4E+01,0E+00,2.2E+01,2.685149999999999E-03 | 0E+00
fr-HYPE-USDT-loong_kc_byfutures_mode_3,HYPE-USDT-FTR,7.4804662012E+02,0E+00,7.4804662012E+02,0E+00,0E+00,1E-04 | 0E+00,2.2689985220999998E+02,0E+00,-2.0965936642500001E+06,-2.2689985220999997E+06,0E+00,0E+00,0E+00,0E+00,0E+00,3.5679141498674394E-04,0E+00,0E+00,1.543159688685737E-01,asset04,precursor007,-7.270101E+04,2026-01-02 22:23:14,0E+00,prod-strategy-sgap4,2026-01-14 01:25:35,0E+00,7.03482237073505E-04|kucoin_spot,0E+00,1.732163853392628E+00,0E+00,0E+00,0E+00,5.962500000000002E-04 | 0E+00
fr-ASTER-USDT-loong_kc_byfutures_mode_2,ASTER-USDT-FTR,6.885361638086824E+02,-1.3755595861131744E+02,8.260921224199999E+02,1.3432833868363446E+01,-2.2385601367847994E+02,5E-05 | 0E+00,5.0470594719999994E+01,9.617853282086132E+04,-1.178460692E+06,-1.0094118943999999E+06,8.161369613239618E-02,8.982822683554136E-01,0E+00,7.158938108269183E-03,-1.4302147743044096E-03,7.009925133930558E-04,-2.327504975517001E-03,1.3966561429443886E-04,8.673845893956933E-02,asset04,precursor007,-1.853152E+06,2026-01-03 13:23:33,1.39E+02,prod-strategy-sgap4,2026-01-22 17:17:47,-7.103970106723743E+01,9.14578379367148E-04|kucoin_spot,1.0638297872340426E-01,1.2509712622825524E+00,3.5E+01,0E+00,3.5E+01,9.373700000000002E-04 | 0E+00
fr-HYPE-USDT-loong_kc_byfutures_mode_4,HYPE-USDT-FTR,5.461477668772523E+02,-2.0189885324274775E+02,7.480466201200001E+02,3.9888792683608335E+02,-1.1077805502204124E+03,1E-04 | 0E+00,2.2689985220999998E+02,1.676732363099575E+06,-2.0965936642500001E+06,-2.2689985220999997E+06,7.997412143756434E-01,-8.776158884529025E+00,0E+00,3.257214919306824E-04,-1.2041209300065123E-04,3.56791414986744E-04,-6.606782183010952E-04,2.3789600273397648E-04,1.543159688685737E-01,asset04,precursor007,-7.270101E+04,2026-01-13 17:34:15,2.52E+02,prod-strategy-sgap4,2026-01-22 17:17:57,-1.0123430892102493E+02,7.03482237073505E-04|kucoin_spot,6.26401179941003E-01,1.732163853392628E+00,6.8E+01,0E+00,4.247E+03,5.962500000000002E-04 | 0E+00
fr-USELESS-USDT-loong_kc_byfutures_mode_0,USELESS-USDT-FTR,3.548241054500796E+02,-6.045866227992042E+01,4.1528276773000005E+02,1.0246999655544641E+01,-2.1767598063126206E+02,5E-05 | 0E+00,6.374382666500001E+00,7.333332432559133E+04,-1.502054284E+05,-1.2748765333E+05,4.8822020020676776E-01,4.719803648948669E+00,0E+00,4.838511123192812E-03,-8.244364050849662E-04,2.7647653760161975E-03,-2.9683091913958017E-03,1.3973183064835802E-04,1.1055597757497218E-02,asset04,precursor007,-2.862961E+06,2026-01-03 08:26:20,2.61E+02,prod-strategy-sgap4,2026-01-22 17:17:42,-3.24127647233686E+01,9.045680687471691E-04|kucoin_spot,4.312977099236641E-01,2.0226843012356803E+00,9E+01,0E+00,1.13E+02,3.239890000000002E-03 | 0E+00
fr-LTC-USDT-loong_kc_byfutures_mode_0,LTC-USDT-FTR,2.990812248805116E+02,-1.431541448948835E+01,3.1339663937E+02,2.8135650577023625E+00,-3.4270619597285986E+01,6.8E-06 | 0E+00,6.224543744000002E+00,2.01231776638031E+04,-1.0671108210000002E+06,-9.153740800000002E+05,1.885762684417863E-02,-4.615068643391133E+00,0E+00,1.4862524690545715E-02,-7.113893605003766E-04,2.9368705967793755E-04,-1.7030421422423174E-03,1.3981713547971648E-04,7.854275391586725E-02,asset04,precursor007,-1.54624E+04,2026-01-13 18:08:37,9.3E+01,prod-strategy-sgap4,2026-01-22 17:17:54,-5.46637278191741E+00,1.0138560324435275E-03|kucoin_spot,2.8125E-01,9.798381940547951E-01,3E+01,0E+00,1.8E+01,4.2157E-04 | 0E+00
fr-KAS-USDT-loong_kc_byfutures_mode_1,KAS-USDT-FTR,2.363957503541776E+02,-4.10314729758224E+01,2.7742722333E+02,4.4303777186069055E+00,-9.760076837334782E+01,5E-05 | 0E+00,7.932696240000001E+00,4.269894692954421E+04,-1.761949278E+05,-1.586539248E+05,2.4233925154764988E-01,-4.921700064668655E+00,0E+00,5.536336780020467E-03,-9.609481246347073E-04,1.5745471608859787E-03,-2.2857886526896055E-03,1.0375847736754002E-04,1.2968507659261563E-02,asset04,precursor007,-5.11952E+06,2025-12-09 16:08:57,5.3E+01,prod-strategy-sgap4,2026-01-22 17:17:59,-6.043553563309327E+00,1.9323671497584183E-03|kucoin_spot,2.1875E-01,1.1299291234993216E+00,4.7E+01,0E+00,2.8E+01,1.6753899999999993E-03 | 0E+00
fr-SUI-USDT-loong_kc_byfutures_mode_0,SUI-USDT-FTR,2.1644280130132123E+02,-5.95688491986788E+01,2.7601165050000003E+02,8.15352237474508E+00,-8.511860465724021E+01,1E-04 | 0E+00,2.373213816E+01,5.8403264320507646E+04,-2.266635134E+05,-2.373213816E+05,2.5766504473722524E-01,3.985568632662446E+01,0E+00,3.7060052005572536E-03,-1.019957529630101E-03,1.2177153983001837E-03,-1.457428889421713E-03,1.3960730568072138E-04,1.6683156242384384E-02,asset04,precursor007,-2.1222E+05,2026-01-03 07:23:11,1.63E+02,prod-strategy-sgap4,2026-01-22 17:17:53,-3.683955848648593E+01,6.242753946312796E-04|kucoin_spot,7.253886010362694E-02,1.3503522107163186E+00,6.1E+01,0E+00,1.4E+01,1.4641500000000004E-03 | 0E+00
fr-BTC-USDT-loong_kc_byfutures_mode_0,BTC-USDT-FTR,1.9939409518997687E+02,1.8170555484997686E+02,1.7688540340000003E+01,9.391626064898446E+00,-7.215752172097581E+01,7.058E-05 | 0E+00,2.3374104500604E+00,9.431590529108047E+04,-5.6959979000000014E+04,-3.311717838E+04,1.6558275994287226E+00,2.711421361383885E+02,0E+00,2.114108904268066E-03,1.9265632269466315E-03,3.1054330866238557E-04,-7.650620698415731E-04,9.957627015203573E-05,4.1924358048000395E-03,asset04,precursor007,-4.29E-01,2026-01-12 03:36:55,1.81E+02,prod-strategy-sgap4,2026-01-22 17:17:45,8.85257808820151E+01,6.422249266306856E-04|kucoin_spot,4.634146341463415E-01,7.631365848715578E-01,2.5E+01,0E+00,1.9E+01,4.4197E-04 | 0E+00
